customerId,productId,rating,name,group,brand,customer
1909939.0,18157.0,1.0,"8 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,De Wert Accountants & Belastingadviseurs
1909939.0,21598.0,1.0,"Fiber Access EuroFiber Basic 100 Mbit/s
Contractduur x jaar tot xx/xx/20xx
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,De Wert Accountants & Belastingadviseurs
1909939.0,18184.0,1.0,"IPv6 adressen
2001:4cb8:xxx::/xx",Connectivity Services,Signet,De Wert Accountants & Belastingadviseurs
1909939.0,31807.0,1.0,"Infrastructuur <Glasvezel> x Gbit/s
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,De Wert Accountants & Belastingadviseurs
1909939.0,31825.0,1.0,"<Glasvezel> EVC 100 Mbit/s Premium of Basic
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,De Wert Accountants & Belastingadviseurs
1912558.0,61759.0,1.0,"Infrastructuur via Eurofiber
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,Zijlmans Truckwash
1912558.0,18154.0,1.0,"4 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Zijlmans Truckwash
1912558.0,21553.0,1.0,"Fiber Access EuroFiber Basic 2 Mbit/s
Contractduur x jaar tot xx/xx/20xx
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,Zijlmans Truckwash
1913041.0,17677.0,1.0,"24/7 Storingsdienst
t.b.v. <dienst/glasvezelleverancier>
<aansluitadres>",?,Signet,Zetes B.V.
1913041.0,18163.0,1.0,"32 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Zetes B.V.
1913041.0,21598.0,1.0,"Fiber Access EuroFiber Basic 100 Mbit/s
Contractduur x jaar tot xx/xx/20xx
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,Zetes B.V.
1913041.0,31807.0,1.0,"Infrastructuur <Glasvezel> x Gbit/s
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,Zetes B.V.
1913041.0,31825.0,1.0,"<Glasvezel> EVC 100 Mbit/s Premium of Basic
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,Zetes B.V.
1913041.0,17482.0,1.0,-,Connectivity Services,Signet,Zetes B.V.
1913041.0,31843.0,1.0,"<Glasvezel> x Mbit/s E-LAN EVC Premium of Basic
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,Zetes B.V.
1913755.0,18154.0,1.0,"4 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Sealed Air B.V.
1913755.0,21646.0,1.0,"Fiber Access EuroFiber Plus 10 Mbit/s
Contractduur x jaar tot xx/xx/20xx
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,Sealed Air B.V.
1913755.0,17482.0,1.0,-,Connectivity Services,Signet,Sealed Air B.V.
1913782.0,17677.0,1.0,"24/7 Storingsdienst
t.b.v. <dienst/glasvezelleverancier>
<aansluitadres>",?,Signet,Vacansoleil B.V.
1913782.0,31042.0,1.0,"GVE Silver EVC 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Vacansoleil B.V.
1913782.0,30976.0,1.0,"Fiber Access GVE Lite 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Vacansoleil B.V.
1913782.0,18160.0,1.0,"16 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Vacansoleil B.V.
1913890.0,19147.0,1.0,BBN ADSL BS Economy 512/256 1:25,Connectivity Services,Signet,Groeikracht Butenpole
1913890.0,20983.0,1.0,"8 IP adressen bij DSL
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Groeikracht Butenpole
1913890.0,23146.0,1.0,KPN/BBned ADSL eco 4M/1M 95%,Connectivity Services,Signet,Groeikracht Butenpole
1913890.0,18160.0,1.0,"16 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Groeikracht Butenpole
1913890.0,20920.0,1.0,E-mail postbus DSL,Connectivity Services,Signet,Groeikracht Butenpole
1913911.0,20983.0,1.0,"8 IP adressen bij DSL
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Gebr. van den Berg B.V.
1913911.0,18745.0,1.0,"BBN ADSL 1024/512 1:20 VBRnrt 99,6%",Connectivity Services,Signet,Gebr. van den Berg B.V.
1914961.0,18157.0,1.0,"8 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Navinfo (Europe) B.V.
1914961.0,17527.0,1.0,"VoIP SIP 8 abonnement
inclusief telefoonnummer",Telecom Services,Signet,Navinfo (Europe) B.V.
1914961.0,18184.0,1.0,"IPv6 adressen
2001:4cb8:xxx::/xx",Connectivity Services,Signet,Navinfo (Europe) B.V.
1914961.0,30499.0,1.0,"Internet Access Datacenter EcoRacks met
10 TB upload en 10 TB download dataverkeer
[Aansluiting van xxx Mbit/s (xxxx base xx)]",Connectivity Services,Signet,Navinfo (Europe) B.V.
1914961.0,18166.0,1.0,"64 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Navinfo (Europe) B.V.
1915159.0,31045.0,1.0,"GVE Silver EVC 200 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Vrijdag Premium Printing B.V.
1915159.0,18154.0,1.0,"4 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Vrijdag Premium Printing B.V.
1915159.0,63155.0,1.0,"Infrastructuur via GVE
Contractnummer:
<aansluitadres>",Connectivity Services,Signet,Vrijdag Premium Printing B.V.
1915159.0,62068.0,1.0,"Fiber Access Business 200 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Vrijdag Premium Printing B.V.
1915168.0,19147.0,1.0,BBN ADSL BS Economy 512/256 1:25,Connectivity Services,Signet,AKW
1915168.0,20983.0,1.0,"8 IP adressen bij DSL
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,AKW
1915303.0,18157.0,1.0,"8 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Adriaanse Autoverhuur
1915303.0,18031.0,1.0,"Fiber Access GVE Economy 3 Mbit/s
Next Business Day 99,6% SLA, QoS 0",Connectivity Services,Signet,Adriaanse Autoverhuur
1915303.0,18154.0,1.0,"4 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Adriaanse Autoverhuur
1915303.0,18016.0,1.0,"Fiber Access GVE Economy 50 Mbit/s
Best Effort SLA, QoS 0",Connectivity Services,Signet,Adriaanse Autoverhuur
1915303.0,18160.0,1.0,"16 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Adriaanse Autoverhuur
1915303.0,18184.0,1.0,"IPv6 adressen
2001:4cb8:xxx::/xx",Connectivity Services,Signet,Adriaanse Autoverhuur
1915303.0,18019.0,1.0,"Fiber Access GVE Economy 100 Mbit/s
Best Effort SLA, QoS 0",Connectivity Services,Signet,Adriaanse Autoverhuur
1915771.0,20983.0,1.0,"8 IP adressen bij DSL
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Noordhuys Tomatoes Tinte
1915771.0,23170.0,1.0,"KPN/BBned ADSL eco 6M/1M 99,6%",Connectivity Services,Signet,Noordhuys Tomatoes Tinte
1916335.0,18163.0,1.0,"32 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Bek B.V.
1916335.0,57256.0,1.0,"Glasnet Veghel EVC 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Bek B.V.
1916335.0,22138.0,1.0,"Fiber Access Glasnet Veghel Max 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Bek B.V.
1916335.0,61930.0,1.0,"Infrastructuur Glasnet Veghel x xbit/s
<aansluitadres>",Connectivity Services,Signet,Bek B.V.
1916515.0,18157.0,1.0,"8 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,SLK en Partners
1916515.0,31042.0,1.0,"GVE Silver EVC 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,SLK en Partners
1916515.0,18184.0,1.0,"IPv6 adressen
2001:4cb8:xxx::/xx",Connectivity Services,Signet,SLK en Partners
1916515.0,62065.0,1.0,"Fiber Access Business 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,SLK en Partners
1916515.0,63155.0,1.0,"Infrastructuur via GVE
Contractnummer:
<aansluitadres>",Connectivity Services,Signet,SLK en Partners
1916605.0,57253.0,1.0,"Glasnet Veghel EVC 50 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Omniplast BV
1916605.0,18154.0,1.0,"4 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Omniplast BV
1916605.0,21961.0,1.0,"Fiber Access Glasnet Veghel Basic 50 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Omniplast BV
1917310.0,18157.0,1.0,"8 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Donkers Automaterialen B.V.
1917310.0,57256.0,1.0,"Glasnet Veghel EVC 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Donkers Automaterialen B.V.
1917310.0,22240.0,1.0,"Fiber Access Glasnet Veghel Lite 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Donkers Automaterialen B.V.
1917559.0,19243.0,1.0,BBN ADSL2+ ECO 12M/1M 1:40 95%,Connectivity Services,Signet,Bouwman Optiek B.V.
1917904.0,18157.0,1.0,"8 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,InfoProjects b.v.
1917904.0,21598.0,1.0,"Fiber Access EuroFiber Basic 100 Mbit/s
Contractduur x jaar tot xx/xx/20xx
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,InfoProjects b.v.
1917904.0,18184.0,1.0,"IPv6 adressen
2001:4cb8:xxx::/xx",Connectivity Services,Signet,InfoProjects b.v.
1917904.0,31807.0,1.0,"Infrastructuur <Glasvezel> x Gbit/s
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,InfoProjects b.v.
1917904.0,31825.0,1.0,"<Glasvezel> EVC 100 Mbit/s Premium of Basic
Projectnummer:
<aansluitadres>",Connectivity Services,Signet,InfoProjects b.v.
1918138.0,18154.0,1.0,"4 IP adressen bij Fiber pakket
pppoe:
<netwerkadres>
<aansluitadres>",Connectivity Services,Signet,Bouwbedrijf L. van de Ven B.V.
1918138.0,57256.0,1.0,"Glasnet Veghel EVC 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Bouwbedrijf L. van de Ven B.V.
1918138.0,21976.0,1.0,"Fiber Access Glasnet Veghel Basic 100 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Bouwbedrijf L. van de Ven B.V.
1918138.0,18184.0,1.0,"IPv6 adressen
2001:4cb8:xxx::/xx",Connectivity Services,Signet,Bouwbedrijf L. van de Ven B.V.
1918138.0,22213.0,1.0,"Fiber Access Glasnet Veghel Lite 10 Mbit/s
<aansluitadres>",Connectivity Services,Signet,Bouwbedrijf L. van de Ven B.V.
